threshold,TP,TN,FP,FN,TP_LATE
0.0,143.0,0.0,1921.0,0.0,0.0
0.01,143.0,0.0,1921.0,0.0,0.0
0.02,143.0,0.0,1921.0,0.0,0.0
0.03,143.0,2.0,1919.0,0.0,0.0
0.04,143.0,2.0,1919.0,0.0,0.0
0.05,143.0,2.0,1919.0,0.0,0.0
0.06,143.0,2.0,1919.0,0.0,0.0
0.07,143.0,5.0,1916.0,0.0,0.0
0.08,143.0,10.0,1911.0,0.0,0.0
0.09,143.0,21.0,1900.0,0.0,0.0
0.1,143.0,37.0,1884.0,0.0,0.0
0.11,143.0,72.0,1849.0,0.0,0.0
0.12,143.0,151.0,1770.0,0.0,0.0
0.13,143.0,361.0,1560.0,0.0,0.0
0.14,143.0,719.0,1202.0,0.0,0.0
0.15,143.0,1031.0,890.0,0.0,0.0
0.16,143.0,1233.0,688.0,0.0,0.0
0.17,143.0,1434.0,487.0,0.0,0.0
0.18,143.0,1565.0,356.0,0.0,0.0
0.19,143.0,1661.0,260.0,0.0,0.0
0.2,143.0,1735.0,186.0,0.0,0.0
0.21,143.0,1783.0,138.0,0.0,0.0
0.22,143.0,1834.0,87.0,0.0,0.0
0.23,143.0,1871.0,50.0,0.0,0.0
0.24,143.0,1883.0,38.0,0.0,0.0
0.25,143.0,1893.0,28.0,0.0,0.0
0.26,140.0,1900.0,21.0,1.0,2.0
0.27,117.0,1904.0,17.0,18.0,8.0
0.28,86.0,1905.0,16.0,46.0,11.0
0.29,77.0,1908.0,13.0,54.0,12.0
0.3,52.0,1910.0,11.0,75.0,16.0
0.31,21.0,1912.0,9.0,119.0,3.0
0.32,3.0,1912.0,9.0,139.0,1.0
0.33,3.0,1912.0,9.0,140.0,0.0
0.34,3.0,1912.0,9.0,140.0,0.0
0.35,3.0,1912.0,9.0,140.0,0.0
