threshold,TP,TN,FP,FN
0.0,136.0,0.0,537.0,0.0
0.01,136.0,0.0,537.0,0.0
0.02,136.0,0.0,537.0,0.0
0.03,136.0,0.0,537.0,0.0
0.04,136.0,0.0,537.0,0.0
0.05,136.0,0.0,537.0,0.0
0.06,136.0,0.0,537.0,0.0
0.07,136.0,0.0,537.0,0.0
0.08,136.0,0.0,537.0,0.0
0.09,136.0,0.0,537.0,0.0
0.1,136.0,0.0,537.0,0.0
0.11,136.0,0.0,537.0,0.0
0.12,136.0,0.0,537.0,0.0
0.13,136.0,0.0,537.0,0.0
0.14,136.0,13.0,524.0,0.0
0.15,136.0,136.0,401.0,0.0
0.16,136.0,166.0,371.0,0.0
0.17,136.0,185.0,352.0,0.0
0.18,136.0,223.0,314.0,0.0
0.19,136.0,301.0,236.0,0.0
0.2,136.0,308.0,229.0,0.0
0.21,136.0,332.0,205.0,0.0
0.22,136.0,344.0,193.0,0.0
0.23,119.0,379.0,158.0,17.0
0.24,101.0,489.0,48.0,35.0
0.25,75.0,500.0,37.0,61.0
0.26,50.0,519.0,18.0,86.0
0.27,36.0,526.0,11.0,100.0
0.28,8.0,534.0,3.0,128.0
0.29,7.0,535.0,2.0,129.0
0.3,6.0,535.0,2.0,130.0
0.31,3.0,537.0,0.0,133.0
0.32,1.0,537.0,0.0,135.0
0.33,0.0,537.0,0.0,136.0
0.34,0.0,537.0,0.0,136.0
0.35,0.0,537.0,0.0,136.0
